iso3,name,capital,region,income_level,latitude,longitude,population,population_density,area_km2,urban_pct,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,unemployment_pct,life_expectancy_years,internet_users_pct
USA,United States,Washington D.C.,North America,High income,38.8895,-77.032,340003797,36.8142112202129,9831510,80.1247798047184,29298013000000,86169.6641581917,2.79318715363841,2.94952520485207,4.022,78.890243902439,94.69380188
UZB,Uzbekistan,Tashkent,Europe & Central Asia,Lower middle income,41.3052,69.269,36361859,80.9084466129581,448920,50.9986686706543,121356065241.228,3337.45492058664,6.67618796188361,9.62825465956682,4.439,72.528,89.50550079
VCT,St. Vincent and the Grenadines,Kingstown,Latin America & Caribbean ,Upper middle income,13.2035,-61.2653,100616,259.802564102564,390,47.8487050456749,1157207407.40741,11501.2265187188,4.06183490050209,3.62770736940927,18.093,71.382,76.19010162
VEN,"Venezuela, RB",Caracas,Latin America & Caribbean ,Lower middle income,9.08165,-69.8371,28405543,32.0853171588912,912050,89.285859883201,120566112397.063,4244.45723136019,5.52486187845305,,5.321,72.673,76.67890167
VGB,British Virgin Islands,Road Town,Latin America & Caribbean ,High income,18.431389,-64.623056,39471,259.9,150,56.5072068980827,,,,,,77.431,
VIR,Virgin Islands (U.S.),Charlotte Amalie,Latin America & Caribbean ,High income,18.3358,-64.8963,104377,299.762857142857,350,95.3312197036061,4672000000,44320.909185774,-1.31123206333498,,11.423,80.7707317073171,
VNM,Viet Nam,Hanoi,East Asia & Pacific,Upper middle income,21.0069,105.825,100987686,320.175197572656,331338.31,38.4900703430176,476324572783.807,4716.6599379632,7.03955197123018,3.62109273885844,1.602,74.736,84.15
VUT,Vanuatu,Port-Vila,East Asia & Pacific,Lower middle income,-17.7404,168.321,327777,26.2845775225595,12190,22.2866933360645,1297956614.77783,3959.87703462363,3.76564827114278,1.14348948727412,4.988,71.654,
WSM,Samoa,Apia,East Asia & Pacific,Upper middle income,-13.8314,-171.752,218019,77.9363309352518,2840,17.5029115108018,1175749785.65113,5392.87761915762,4.7483863916535,2.17245530514377,4.855,71.826,
XKX,Kosovo,Pristina,Europe & Central Asia,Upper middle income,42.565,20.926,1594353,,,50.3214443938994,11203038332.3359,7026.6988128325,4.5730971681166,1.61944994559476,,78.222,89.4430319734879
YEM,"Yemen, Rep.",Sana'a,"Middle East, North Africa, Afghanistan & Pakistan",Low income,15.352,44.2075,40583164,74.6080250771824,527970,36.8077517596594,21606160663.0318,633.887202451545,0.752447592962554,,16.97,69.439,17.49099922
ZAF,South Africa,Pretoria,Sub-Saharan Africa ,Upper middle income,-25.746,28.1871,64007187,52.1085690262058,1219090,63.6917984858172,401144998373.585,6267.186814093,0.534843531905139,4.36115246518962,32.279,66.312,78.35759735
ZMB,Zambia,Lusaka,Sub-Saharan Africa ,Lower middle income,-15.3982,28.2937,21314956,27.8776483407095,752610,45.4703838491279,25303185342.2511,1187.10943350064,3.82004825518591,14.9856262747939,5.898,66.528,17.10099983
ZWE,Zimbabwe,Harare,Sub-Saharan Africa ,Lower middle income,-17.8312,31.0672,16634373,42.24071862479,390760,39.8933716820696,41521975830.2351,2496.15514995576,1.67649454921512,104.705170628667,9.435,63.064,41.64279938
